contrast,site_sys,ratio,std.error,df,z.ratio,p.value,loo,SE,asymp.LCL,asymp.UCL
ccrye / no,Central_B44_silage,0.33910772521581883,0.12525700016512387,Inf,-2.927770844493605,0.003414015653581914,26,0.12525700016512387,0.1847039853213379,0.6225856421072178
ccrye / no,East_S_grain,0.65356878069723,0.2605117098782704,Inf,-1.067006567404609,0.2859688703412837,26,0.2605117098782704,0.339275055076472,1.259014315113101
ccrye / no,West_F_grain,0.699404552540357,0.2556616537930076,Inf,-0.9780710950989872,0.32803916263510635,26,0.2556616537930076,0.3833569155305897,1.2760086183319272
ccrye / no,Central_B42_grain,2.3275718270574988,0.8329701055170144,Inf,2.360699656242133,0.018240496661285834,27,0.8329701055170144,1.291985814939049,4.1932276248461475
ccrye / no,Central_B44_grain,0.8364104930022267,0.29040041088732466,Inf,-0.5145062595147268,0.6068980851727421,27,0.29040041088732466,0.47249582660865697,1.4806109883032992
ccrye / no,Central_B44_silage,0.35403153675085386,0.12889801891564578,Inf,-2.851986989792962,0.004344687880935609,27,0.12889801891564578,0.19451657678902104,0.6443580854814097
ccrye / no,East_S_grain,0.6530959190645168,0.2582634985813535,Inf,-1.0773465309139592,0.2813254818531842,27,0.2582634985813535,0.34079288213004066,1.2515938620336788
ccrye / no,West_F_grain,0.6993673279817351,0.2531857549566063,Inf,-0.9877300899709016,0.32328485384572075,27,0.2531857549566063,0.3855628943125033,1.2685729531117136
ccrye / no,Central_B42_grain,2.325093876820836,0.8389392036962118,Inf,2.3384557147812135,0.019363620413093557,28,0.8389392036962118,1.284365929673811,4.209128731250847
ccrye / no,Central_B44_grain,0.8384771220512468,0.2936861763081009,Inf,-0.5029614426969211,0.6149913809848864,28,0.2936861763081009,0.471282900269484,1.4917661638080533
ccrye / no,Central_B44_silage,0.4040458032706923,0.14758700847467088,Inf,-2.480958407412889,0.013102966136407773,28,0.14758700847467088,0.22156315765746457,0.7368238152348741
ccrye / no,East_S_grain,0.6531714573092265,0.26047991806143933,Inf,-1.0680129407676502,0.28551467447263673,28,0.26047991806143933,0.33896073458884407,1.2586500709616417
ccrye / no,West_F_grain,0.6994179215081167,0.25572473779460575,Inf,-0.9777962293123227,0.32817511634419133,28,0.25572473779460575,0.38331177784065723,1.276207664900108
ccrye / no,Central_B42_grain,2.3383854561413693,0.8024942784844502,Inf,2.4752408026909514,0.013314636899975247,29,0.8024942784844502,1.3297285354699373,4.112152515070322
ccrye / no,Central_B44_grain,0.832063482718768,0.2763848830218611,Inf,-0.5534745260253188,0.5799385192885169,29,0.2763848830218611,0.48180571890082224,1.4369477407896825
ccrye / no,Central_B44_silage,0.47683628240828674,0.16425334359583663,Inf,-2.149949544836244,0.03155920600630652,29,0.16425334359583663,0.27058301153380154,0.8403071535499992
ccrye / no,East_S_grain,0.6529632957582366,0.24729187561691737,Inf,-1.1254530369340672,0.26039710730171195,29,0.24729187561691737,0.350225727401209,1.2173893356470378
ccrye / no,West_F_grain,0.6995793043764794,0.24067911233307465,Inf,-1.0384905276023753,0.29904174297886166,29,0.24067911233307465,0.39726099385570157,1.231963899505445
ccrye / no,Central_B42_grain,2.325955024467508,0.8374362675428415,Inf,2.344548666841802,0.019050124191173055,30,0.8374362675428415,1.2864905765597283,4.205290636728166
ccrye / no,Central_B44_grain,0.8387219232006192,0.29311314966336366,Inf,-0.50325654904324435,0.6147839113271566,30,0.29311314966336366,0.4720299382491099,1.4902751021824028
ccrye / no,Central_B44_silage,0.37847218540653205,0.13850139927577965,Inf,-2.6550517325950236,0.007929624672080929,30,0.13850139927577965,0.2073090259227832,0.6909549378701423
ccrye / no,East_S_grain,0.6529863312609312,0.2598382150126516,Inf,-1.071059447596496,0.28414270058070834,30,0.2598382150126516,0.339349744580234,1.2564946802628194
ccrye / no,West_F_grain,0.6993743869237733,0.25502784466712486,Inf,-0.9805778423999969,0.3268009654412062,30,0.25502784466712486,0.3839022778864938,1.2740860402751257
ccrye / no,Central_B42_grain,2.3264555872008112,0.8357613740503412,Inf,2.3503517901097553,0.018755675361464483,31,0.8357613740503412,1.2884562786757587,4.200682389301241
ccrye / no,Central_B44_grain,0.8377680189456705,0.29204763239415493,Inf,-0.5077825957100899,0.6116058166760552,31,0.29204763239415493,0.4721713366468608,1.4864418889812332
ccrye / no,Central_B44_silage,0.3884481386932613,0.13156726275018443,Inf,-2.7918408172429015,0.005240913194180472,31,0.13156726275018443,0.222526959858841,0.6780839344139551
ccrye / no,East_S_grain,0.6481404004444189,0.28594031099341233,Inf,-0.982949020704633,0.3256325296453931,31,0.28594031099341233,0.31370301660221805,1.3391199843670278
ccrye / no,West_F_grain,0.6993843252413016,0.25434620197652935,Inf,-0.9831806686288415,0.32551852729635306,31,0.25434620197652935,0.3845269573806925,1.2720523880175452
ccrye / no,Central_B42_grain,2.324193013362262,0.8551876964076145,Inf,2.2920832252736414,0.021900841178754436,32,0.8551876964076145,1.2688974514723887,4.257139264558998
ccrye / no,Central_B44_grain,0.8385468405625578,0.30011471338300505,Inf,-0.4919964837157581,0.6227218293110168,32,0.30011471338300505,0.4654383661863438,1.510749553327387
ccrye / no,Central_B44_silage,0.38870624913438045,0.13535981477341766,Inf,-2.7135138068757376,0.006657379392844508,32,0.13535981477341766,0.21921080308228424,0.6892568522702053
ccrye / no,East_S_grain,0.49923117662567645,0.22179323038864823,Inf,-1.5636587009429717,0.11789774140559814,32,0.22179323038864823,0.24040159106717185,1.036730940958782
ccrye / no,West_F_grain,0.6995341781596316,0.2621400747818723,Inf,-0.9535817093187491,0.3402954178802432,32,0.2621400747818723,0.37767351804523003,1.2956907038286625
ccrye / no,Central_B42_grain,2.3316502705243427,0.8269602301140293,Inf,2.3869585958910973,0.01698840443182504,33,0.8269602301140293,1.3010874374564854,4.17849932873406
ccrye / no,Central_B44_grain,0.8360002368289997,0.2876752305992744,Inf,-0.5205512409659284,0.6026794234749435,33,0.2876752305992744,0.4746700401152442,1.47238362844316
ccrye / no,Central_B44_silage,0.38860776716183865,0.12984665526915906,Inf,-2.8287685679205876,0.00467274761931798,33,0.12984665526915906,0.2242969285810115,0.6732860661708344
